_2012,Country_Name
1.00000000000000E+02,Albania
1.00000000000000E+02,Algeria
1.00000000000000E+02,Andorra
1.00000000000000E+02,Armenia
1.00000000000000E+02,Australia
1.00000000000000E+02,Austria
1.00000000000000E+02,Azerbaijan
1.00000000000000E+02,Belarus
1.00000000000000E+02,Belgium
1.00000000000000E+02,Belize
1.00000000000000E+02,Bermuda
1.00000000000000E+02,Bosnia and Herzegovina
1.00000000000000E+02,Bulgaria
1.00000000000000E+02,Canada
1.00000000000000E+02,Channel Islands
1.00000000000000E+02,China
1.00000000000000E+02,Croatia
1.00000000000000E+02,Cuba
1.00000000000000E+02,Cyprus
1.00000000000000E+02,Czech Republic
1.00000000000000E+02,Denmark
1.00000000000000E+02,Estonia
1.00000000000000E+02,Faroe Islands
1.00000000000000E+02,Finland
1.00000000000000E+02,France
1.00000000000000E+02,Georgia
1.00000000000000E+02,Germany
1.00000000000000E+02,Greece
1.00000000000000E+02,Greenland
1.00000000000000E+02,Hungary
1.00000000000000E+02,Iceland
1.00000000000000E+02,Iraq
1.00000000000000E+02,Ireland
1.00000000000000E+02,Isle of Man
1.00000000000000E+02,Israel
1.00000000000000E+02,Italy
1.00000000000000E+02,Japan
1.00000000000000E+02,Kazakhstan
1.00000000000000E+02,Kosovo
1.00000000000000E+02,Kyrgyz Republic
1.00000000000000E+02,Latvia
1.00000000000000E+02,Lebanon
1.00000000000000E+02,Libya
1.00000000000000E+02,Liechtenstein
1.00000000000000E+02,Lithuania
1.00000000000000E+02,Luxembourg
1.00000000000000E+02,Malaysia
1.00000000000000E+02,Maldives
1.00000000000000E+02,Malta
1.00000000000000E+02,Mauritius
1.00000000000000E+02,Moldova
1.00000000000000E+02,Monaco
1.00000000000000E+02,Montenegro
1.00000000000000E+02,Morocco
1.00000000000000E+02,Netherlands
1.00000000000000E+02,New Zealand
1.00000000000000E+02,Norway
1.00000000000000E+02,Poland
1.00000000000000E+02,Portugal
1.00000000000000E+02,Romania
1.00000000000000E+02,Russian Federation
1.00000000000000E+02,Samoa
1.00000000000000E+02,San Marino
1.00000000000000E+02,Serbia
1.00000000000000E+02,Seychelles
1.00000000000000E+02,Singapore
1.00000000000000E+02,Slovak Republic
1.00000000000000E+02,Slovenia
1.00000000000000E+02,Spain
1.00000000000000E+02,Suriname
1.00000000000000E+02,Sweden
1.00000000000000E+02,Switzerland
1.00000000000000E+02,Tajikistan
1.00000000000000E+02,Thailand
1.00000000000000E+02,Tunisia
1.00000000000000E+02,Turkey
1.00000000000000E+02,Turkmenistan
1.00000000000000E+02,Ukraine
1.00000000000000E+02,United Kingdom
1.00000000000000E+02,United States
1.00000000000000E+02,Uzbekistan
5.06255800000000E+00,South Sudan
6.40000000000000E+00,Chad
6.50000000000000E+00,Burundi
9.80000000000000E+00,Liberia
9.80000000000000E+00,Malawi
1.08000000000000E+01,Central African Republic
1.31000000000000E+01,Burkina Faso
1.42000000000000E+01,Sierra Leone
1.44000000000000E+01,Niger
1.53000000000000E+01,Tanzania
1.54000000000000E+01,Madagascar
1.80000000000000E+01,Rwanda
1.81067100000000E+01,Papua New Guinea
1.81625600000000E+01,Uganda
2.02000000000000E+01,Mozambique
2.05625600000000E+01,Lesotho
2.17625600000000E+01,Mauritania
2.20625600000000E+01,Zambia
2.28067100000000E+01,Solomon Islands
2.30000000000000E+01,Kenya
2.56000000000000E+01,Mali
2.62000000000000E+01,Guinea
2.65625600000000E+01,Ethiopia
2.70768100000000E+01,Vanuatu
3.11000000000000E+01,Cambodia
3.14625600000000E+01,Togo
3.25625600000000E+01,Sudan
3.27079500000000E+01,Somalia
3.60768000000000E+01,Eritrea
3.70000000000000E+01,Angola
3.79000000000000E+01,Haiti
3.84000000000000E+01,Benin
4.04625600000000E+01,Zimbabwe
4.15625600000000E+01,Timor-Leste
4.20000000000000E+01,Swaziland
4.30000000000000E+01,Afghanistan
4.45625600000000E+01,Tuvalu
4.72625600000000E+01,Namibia
5.23625600000000E+01,Myanmar
5.32400000000000E+01,Botswana
5.32625600000000E+01,Djibouti
5.37000000000000E+01,Cameroon
5.56000000000000E+01,Nigeria
5.58000000000000E+01,Cote d'Ivoire
5.65000000000000E+01,Senegal
5.93289100000000E+01,American Samoa
5.93289100000000E+01,Fiji
5.93289100000000E+01,French Polynesia
5.93289100000000E+01,Guam
5.93289100000000E+01,Kiribati
5.93289100000000E+01,Marshall Islands
5.93289100000000E+01,New Caledonia
5.93289100000000E+01,Palau
5.96000000000000E+01,Bangladesh
6.04625600000000E+01,Sao Tome and Principe
6.06067200000000E+01,Guinea-Bissau
6.40625600000000E+01,Ghana
6.60000000000000E+01,Equatorial Guinea
6.93000000000000E+01,Comoros
7.00000000000000E+01,Lao PDR
7.05625600000000E+01,Cabo Verde
7.55625600000000E+01,Bhutan
7.59057500000000E+01,St. Vincent and the Grenadines
7.61613800000000E+01,Brunei Darussalam
7.63000000000000E+01,Nepal
7.79000000000000E+01,Nicaragua
7.85000000000000E+01,Guatemala
7.87000000000000E+01,India
7.94667700000000E+01,Guyana
8.22000000000000E+01,Honduras
8.54000000000000E+01,South Africa
8.75000000000000E+01,Philippines
8.86625600000000E+01,Sri Lanka
8.93000000000000E+01,Gabon
8.97625600000000E+01,Mongolia
9.05000000000000E+01,Bolivia
9.08754400000000E+01,Antigua and Barbuda
9.08754400000000E+01,Aruba
9.08754400000000E+01,Barbados
9.08754400000000E+01,Cayman Islands
9.08754400000000E+01,Curacao
9.08754400000000E+01,Grenada
9.08754400000000E+01,Panama
9.08754400000000E+01,Puerto Rico
9.08754400000000E+01,St. Kitts and Nevis
9.08754400000000E+01,St. Lucia
9.08754400000000E+01,St. Martin (French part)
9.08754400000000E+01,Turks and Caicos Islands
9.08754400000000E+01,Virgin Islands (U.S.)
9.12000000000000E+01,Peru
9.26334400000000E+01,Jamaica
9.26667600000000E+01,Dominica
9.36000000000000E+01,Pakistan
9.37000000000000E+01,El Salvador
9.58625600000000E+01,Tonga
9.60000000000000E+01,Indonesia
9.62625600000000E+01,Syrian Arab Republic
9.70000000000000E+01,Colombia
9.72000000000000E+01,Ecuador
9.76978300000000E+01,Bahrain
9.76978300000000E+01,Kuwait
9.76978300000000E+01,Oman
9.76978300000000E+01,Qatar
9.76978300000000E+01,Saudi Arabia
9.76978300000000E+01,United Arab Emirates
9.76978300000000E+01,West Bank and Gaza
9.80000000000000E+01,Dominican Republic
9.82000000000000E+01,Paraguay
9.90000000000000E+01,Vietnam
9.91000000000000E+01,Mexico
9.95000000000000E+01,Brazil
9.95000000000000E+01,Costa Rica
9.95000000000000E+01,Jordan
9.95000000000000E+01,Uruguay
9.96000000000000E+01,Chile
9.98000000000000E+01,Argentina
9.98278000000000E+01,Trinidad and Tobago
